City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Luderitz,,70.07,-26.6481,15.1594,LÜDERITZ NEST HOTEL
4,Kapaa,US,73.99,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
5,Vaini,TO,82.4,-21.2,-175.2,Keleti Beach Resort
6,Padang,ID,89.6,-0.9492,100.3543,Mercure Padang
8,Hobart,AU,87.01,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
11,Richards Bay,ZA,80.51,-28.783,32.0377,BON Hotel Waterfront Richards Bay
16,Rikitea,PF,79.47,-23.1203,-134.9692,Pension Maro'i
18,Port-Gentil,GA,80.49,-0.7193,8.7815,Fengshui Residence
22,Bengkulu,ID,88.34,-3.8004,102.2655,Grage Hotel Bengkulu
26,Kirakira,SB,84.18,-10.4544,161.9205,SanBiz Lodge
27,Hithadhoo,MV,81.79,-0.6,73.0833,Scoop Guest House
30,Mocuba,MZ,75.34,-16.8392,36.9856,Phama Lodge
33,Kieta,PG,85.1,-6.2167,155.6333,
34,Esperance,AU,73.4,-33.8667,121.9,Hospitality Esperance
36,Puerto Ayora,EC,75.99,-0.7393,-90.3518,Castillo Galapagos
37,Bambanglipuro,ID,84.78,-7.95,110.2833,Puri Brata
39,Kavaratti,IN,81.41,10.5669,72.642,Hotels in Lakshadweep Islands
42,Carnarvon,AU,82.4,-24.8667,113.6333,Hospitality Carnarvon
46,Meulaboh,ID,85.64,4.1363,96.1285,Kost Pria
48,Dingle,PH,85.32,10.9995,122.6711,SEGAYA PROPERTY
53,Hambantota,LK,80.6,6.1241,81.1185,Bungalow 63
54,Catacaos,PE,77.34,-5.2667,-80.6833,Hostal Ñariwalac
60,New Norfolk,AU,87.01,-42.7826,147.0587,The Shingles Riverside Cottages
61,Berbera,SO,74.88,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
62,Airai,TL,70.68,-8.9266,125.4092,Juvinal Martin
64,La Asuncion,VE,75.43,11.0333,-63.8628,Colinas de Matasiete
66,The Valley,AI,77.0,18.217,-63.0578,CeBlue Villas & Beach Resort
69,Busselton,AU,75.99,-33.65,115.3333,Observatory Guest House
74,Marihatag,PH,76.53,8.7936,126.2969,Mariner's Place & Resort
81,Lima,PE,77.0,-12.0432,-77.0282,Gran Hotel Bolivar Lima
82,Morros,BR,70.12,-9.4467,-46.3003,
83,Mahanoro,MG,82.33,-19.9,48.8,BUNGALOW MAHAMANINA
87,Hilo,US,71.6,19.7297,-155.09,Hilo Hawaiian Hotel
88,Caravelas,BR,72.99,-17.7125,-39.2481,Pousada dos Navegantes
90,Pamanukan,ID,83.82,-6.2842,107.8106,Paris Day Hotel Pamanukan
91,Georgetown,MY,86.0,5.4112,100.3354,Cititel Penang
92,Mar Del Plata,AR,75.0,-38.0023,-57.5575,Gran Hotel Mar del Plata
93,Mackay,AU,84.2,-21.15,149.2,International Lodge Motel
96,Pisco,PE,71.6,-13.7,-76.2167,Hotel San Isidro Oficial
97,Carutapera,BR,78.31,-1.195,-46.02,Lidera
100,Kununurra,AU,86.0,-15.7667,128.7333,Hotel Kununurra
102,Eyl,SO,74.62,7.9803,49.8164,Amiin Hotel
109,Lorengau,PG,84.52,-2.0226,147.2712,Lorengau Harbourside Hotel
117,Atuona,PF,77.99,-9.8,-139.0333,Villa Enata
120,Faanui,PF,81.37,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
126,Makakilo City,US,78.01,21.3469,-158.0858,Marriott's Ko Olina Beach Club
127,Teknaf,BD,75.97,20.8624,92.3058,Forestry Guesthouse
130,Yanam,IN,77.0,16.7333,82.2167,The Regency Hotel
135,Kahului,US,77.0,20.8947,-156.47,Maui Seaside Hotel
138,Namibe,AO,75.09,-15.1961,12.1522,Hotel Chik Chik Namibe
141,Saint-Philippe,RE,86.0,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
143,Buala,SB,84.83,-8.145,159.5921,Maringe Lagoon Lodge
147,Nampula,MZ,74.55,-15.1165,39.2666,Tacab Residencial
149,Mahebourg,MU,78.8,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
152,Quthing,LS,74.52,-30.4,27.7003,Mountainside Hotel
154,Sao Gabriel Da Cachoeira,BR,70.84,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
159,Cockburn Town,TC,77.18,21.4612,-71.1419,Osprey Beach Hotel
163,Maragogi,BR,76.73,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
164,Boa Vista,BR,77.0,2.8197,-60.6733,Aipana Plaza Hotel
167,Bumba,CD,72.03,2.1833,22.4667,Hôtel Cape Town
168,Akyab,MM,73.98,20.15,92.9,Hotel Memory
169,Manaus,BR,78.8,-3.1019,-60.025,Hotel do Largo
171,Aitape,PG,84.99,-3.1374,142.3475,
174,Velasco Ibarra,EC,74.48,-1.05,-79.6167,White Room Studio
175,Avarua,CK,86.0,-21.2078,-159.775,Paradise Inn
177,Saint-Pierre,RE,86.0,-21.3393,55.4781,Lindsey Hôtel
178,Butaritari,KI,79.99,3.0707,172.7902,Isles Sunset Lodge
182,Port Lincoln,AU,80.49,-34.7333,135.8667,Port Lincoln Hotel
186,Cidreira,BR,74.93,-30.1811,-50.2056,Hotel Castelo
189,Ko Samui,TH,84.2,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
193,Banda Aceh,ID,83.48,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
198,Bosobolo,CD,73.08,4.1833,19.9,
208,Aragarcas,BR,72.0,-15.8975,-52.2508,Hotel Pousada Tropical
210,Loandjili,CG,73.4,-4.7561,11.8578,Résidence ARCHANGE
212,Paita,PE,72.79,-5.0892,-81.1144,Hotel Náutico de Paita
214,Kimbe,PG,86.31,-5.5502,150.1429,Kimbe Bay Hotel
215,Conceicao Do Araguaia,BR,72.79,-8.2578,-49.2647,Tarumã Tropical Hotel
217,Manaure,CO,78.6,11.7751,-72.4445,Hotel Palaaima
218,Sao Filipe,CV,71.94,14.8961,-24.4956,Tortuga B&B
226,Luanda,AO,75.2,-8.8368,13.2343,EPIC SANA Luanda
239,Peruibe,BR,74.93,-24.32,-46.9983,Hotel Pousada Xapuri
242,Jacareacanga,BR,72.73,-6.2222,-57.7528,Casa do Ian😎
246,Arraial Do Cabo,BR,74.64,-22.9661,-42.0278,Pousada Porto Praia
253,Katobu,ID,79.81,-4.9408,122.5276,La Ode Husein
255,Rock Sound,BS,73.33,24.9,-76.2,Rock Sound Club
262,Cayenne,GF,75.2,4.9333,-52.3333,Hôtel Le Dronmi
270,Kavieng,PG,85.46,-2.5744,150.7967,Nusa Island Retreat
274,Itaporanga,BR,71.85,-7.3044,-38.1503,Hotel Rainha do Vale
279,Geraldton,AU,77.0,-28.7667,114.6,Broadwater Mariner Resort
281,Denpasar,ID,86.0,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
282,Vinh,VN,72.28,18.6667,105.6667,Hotels Shanghai
283,Alofi,NU,84.2,-19.0595,-169.9187,Taloa Heights
291,Masuguru,TZ,74.98,-11.3667,38.4167,
293,Tampilisan,PH,82.83,8.0167,122.6833,Vital Nature Farm Philippines
294,Pilar,BR,73.4,-9.5972,-35.9567,Pousada e churrascaria Manguaba
296,Sao Joao Da Barra,BR,74.57,-21.6403,-41.0511,Pousada Porto De Canoas
298,Sao Felix Do Xingu,BR,70.41,-6.6447,-51.995,Rio Xingu Camping
300,Tagusao,PH,81.97,9.1924,117.8141,Toledo
305,Porlamar,VE,75.9,10.958,-63.8491,Hotel Bella Vista
311,Ambanja,MG,78.8,-13.6833,48.45,Hotel Salama and Fast Food
313,Sabang,ID,81.19,5.8933,95.3214,Hotel Citra
318,Totness,SR,76.89,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
328,Giyani,ZA,71.38,-23.3025,30.7187,Kulani Country Lodge
