City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Waddan,LY,29.1614,16.139,49.53,48,0,3.87,clear sky
1,Bani Walid,LY,31.7566,13.9942,49.23,52,3,7.45,clear sky
2,Luderitz,NA,-26.6481,15.1594,70.07,57,91,24.11,overcast clouds
3,Salinas,US,36.6777,-121.6555,50.0,87,1,6.91,clear sky
4,Kapaa,US,22.0752,-159.319,73.99,88,75,17.27,light rain
5,Vaini,TO,-21.2,-175.2,82.4,83,75,5.75,light rain
6,Padang,ID,-0.9492,100.3543,89.6,55,20,4.61,few clouds
7,Strathroy,CA,42.9551,-81.6223,19.0,62,46,4.29,scattered clouds
8,Hobart,AU,-42.8794,147.3294,87.01,47,40,14.97,scattered clouds
9,Videira,BR,-27.0083,-51.1517,64.22,94,100,3.36,moderate rain
10,Mataura,NZ,-46.1927,168.8643,60.01,79,99,23.0,overcast clouds
11,Richards Bay,ZA,-28.783,32.0377,80.51,72,0,7.85,clear sky
12,Normandin,CA,48.8333,-72.5321,6.8,72,100,24.16,overcast clouds
13,Umm Kaddadah,SD,13.6017,26.6876,62.11,30,77,15.21,broken clouds
14,Port Alfred,ZA,-33.5906,26.891,66.99,95,88,8.01,light rain
15,Punta Arenas,CL,-53.15,-70.9167,51.8,62,75,16.11,light rain
16,Rikitea,PF,-23.1203,-134.9692,79.47,65,0,7.2,clear sky
17,Ushuaia,AR,-54.8,-68.3,57.2,44,40,23.02,light rain
18,Port-Gentil,GA,-0.7193,8.7815,80.49,77,100,8.01,overcast clouds
19,Ponta Do Sol,PT,32.6667,-17.1,59.0,78,99,3.0,overcast clouds
20,Orlovskiy,RU,46.8714,42.0592,29.48,97,32,10.92,scattered clouds
21,Upernavik,GL,72.7868,-56.1549,20.16,84,100,7.92,overcast clouds
22,Bengkulu,ID,-3.8004,102.2655,88.34,55,100,7.07,moderate rain
23,Ojinaga,MX,29.5667,-104.4167,59.0,38,1,6.91,clear sky
24,Bredasdorp,ZA,-34.5322,20.0403,55.4,82,28,5.75,scattered clouds
25,Apple Valley,US,34.5008,-117.1859,37.0,97,100,1.99,snow
26,Kirakira,SB,-10.4544,161.9205,84.18,61,90,6.78,overcast clouds
27,Hithadhoo,MV,-0.6,73.0833,81.79,71,59,5.23,broken clouds
28,Roald,NO,62.5833,6.1333,39.2,60,40,8.05,scattered clouds
29,East London,ZA,-33.0153,27.9116,68.0,83,20,16.11,light rain
30,Mocuba,MZ,-16.8392,36.9856,75.34,79,100,2.95,overcast clouds
31,Mafinga,TZ,-7.25,35.0667,67.21,93,100,2.53,overcast clouds
32,Ganzhou,CN,28.8184,115.4327,60.67,48,0,4.85,clear sky
33,Kieta,PG,-6.2167,155.6333,85.1,58,15,6.76,few clouds
34,Esperance,AU,-33.8667,121.9,73.4,53,90,9.22,overcast clouds
35,Qaanaaq,GL,77.484,-69.3632,11.19,77,56,0.78,broken clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,75.99,94,41,1.99,scattered clouds
37,Bambanglipuro,ID,-7.95,110.2833,84.78,69,66,6.78,broken clouds
38,Nikolskoye,RU,59.7035,30.7861,34.0,93,90,8.95,light snow
