City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-01-23 00:42:20,-23.1203,-134.9692,78.66,71,23,12.66
1,Asau,RO,2021-01-23 00:42:20,46.4333,26.4,37.99,60,92,5.59
2,Matara,LK,2021-01-23 00:41:17,5.9485,80.5353,73.98,86,1,10.13
3,Bluff,NZ,2021-01-23 00:42:20,-46.6,168.3333,59.0,58,69,14.0
4,Ovre Ardal,NO,2021-01-23 00:42:20,61.3167,7.8,29.43,92,100,3.89
5,Tuktoyaktuk,CA,2021-01-23 00:42:20,69.4541,-133.0374,-16.6,76,75,18.41
6,Mar Del Plata,AR,2021-01-23 00:42:20,-38.0023,-57.5575,73.0,88,0,8.05
7,Talnakh,RU,2021-01-23 00:42:21,69.4865,88.3972,-37.16,69,21,0.58
8,Castro,BR,2021-01-23 00:42:21,-24.7911,-50.0119,63.46,96,100,4.76
9,Albany,US,2021-01-23 00:40:08,42.6001,-73.9662,33.01,58,33,8.95
10,Busselton,AU,2021-01-23 00:41:19,-33.65,115.3333,73.36,66,9,9.78
11,Hilo,US,2021-01-23 00:39:47,19.7297,-155.09,80.6,54,20,13.8
12,Jamestown,US,2021-01-23 00:41:01,42.097,-79.2353,21.0,79,90,13.8
13,Rudbar,AF,2021-01-23 00:42:22,30.15,62.6,30.22,77,0,13.38
14,Saint-Philippe,RE,2021-01-23 00:42:22,-21.3585,55.7679,77.0,78,20,3.44
15,Cidreira,BR,2021-01-23 00:42:22,-30.1811,-50.2056,74.05,85,51,15.41
16,Markova,UA,2021-01-23 00:42:22,48.6758,24.4138,39.06,85,28,5.5
17,Port Hardy,CA,2021-01-23 00:42:13,50.6996,-127.4199,39.2,70,20,6.91
18,Okhotsk,RU,2021-01-23 00:42:22,59.3833,143.3,-18.4,81,97,10.56
19,Kawalu,ID,2021-01-23 00:42:22,-7.3817,108.2082,79.93,73,91,1.12
20,Vammala,FI,2021-01-23 00:42:22,61.3333,22.9,36.0,93,75,10.36
21,Faanui,PF,2021-01-23 00:42:23,-16.4833,-151.75,81.34,72,0,12.95
22,Maniitsoq,GL,2021-01-23 00:42:23,65.4167,-52.9,23.34,80,64,3.42
23,Mataura,NZ,2021-01-23 00:42:23,-46.1927,168.8643,59.0,58,56,14.0
24,Bara,NG,2021-01-23 00:42:23,10.3744,10.7288,63.77,28,70,7.2
25,Upernavik,GL,2021-01-23 00:42:23,72.7868,-56.1549,19.31,81,0,5.26
26,Korla,CN,2021-01-23 00:39:11,41.7597,86.1469,26.04,78,100,2.82
27,Dingle,PH,2021-01-23 00:42:24,10.9995,122.6711,81.19,76,97,1.41
28,New Norfolk,AU,2021-01-23 00:42:24,-42.7826,147.0587,73.99,39,100,5.99
29,Mishan,CN,2021-01-23 00:42:24,45.55,131.8833,5.29,90,0,3.22
30,Vaini,TO,2021-01-23 00:42:24,-21.2,-175.2,77.0,94,90,9.22
31,Oktyabrskiy,RU,2021-01-23 00:42:24,54.4815,53.471,-3.57,91,100,2.48
32,Ushuaia,AR,2021-01-23 00:42:24,-54.8,-68.3,51.8,43,40,13.8
33,Moose Factory,CA,2021-01-23 00:42:25,51.2585,-80.6094,-4.0,77,90,5.75
34,Zarubino,RU,2021-01-23 00:42:25,42.63,131.0922,20.62,84,0,5.26
35,Cape Town,ZA,2021-01-23 00:42:25,-33.9258,18.4232,71.01,100,90,9.22
36,Eirunepe,BR,2021-01-23 00:42:25,-6.6603,-69.8736,73.6,94,100,1.28
37,Flinders,AU,2021-01-23 00:42:25,-34.5833,150.8552,84.0,58,0,4.0
38,Puerto Narino,CO,2021-01-23 00:42:25,-3.7703,-70.3831,75.2,100,75,2.3
39,Meulaboh,ID,2021-01-23 00:42:26,4.1363,96.1285,75.67,89,76,3.53
40,Lagoa,PT,2021-01-23 00:42:26,39.05,-27.9833,61.16,94,100,24.56
41,Kapaa,US,2021-01-23 00:42:26,22.0752,-159.319,78.8,69,75,19.57
42,Carnot,CF,2021-01-23 00:42:26,4.9409,15.8665,69.03,25,99,2.08
43,Mbuji-Mayi,CD,2021-01-23 00:42:26,-6.15,23.6,69.82,92,100,3.83
44,Tabou,CI,2021-01-23 00:42:26,4.423,-7.3528,77.92,86,28,6.85
45,Mayumba,GA,2021-01-23 00:42:27,-3.432,10.6554,76.59,90,100,5.57
46,Torbay,CA,2021-01-23 00:42:27,47.6666,-52.7314,24.01,86,1,13.8
47,Lorengau,PG,2021-01-23 00:42:27,-2.0226,147.2712,84.51,62,100,2.8
48,Beringovskiy,RU,2021-01-23 00:42:27,63.05,179.3167,-5.57,89,0,4.52
49,Saskylakh,RU,2021-01-23 00:42:27,71.9167,114.0833,-22.31,85,100,7.36
50,Leningradskiy,RU,2021-01-23 00:42:28,69.3833,178.4167,-8.54,88,100,14.34
51,Hambantota,LK,2021-01-23 00:42:28,6.1241,81.1185,75.2,94,3,5.75
52,Port Alfred,ZA,2021-01-23 00:42:28,-33.5906,26.891,73.0,93,45,1.99
53,Hasaki,JP,2021-01-23 00:39:11,35.7333,140.8333,46.4,81,75,16.11
54,Tambun,ID,2021-01-23 00:42:28,-6.2641,107.0712,81.0,94,40,1.52
55,Yulara,AU,2021-01-23 00:41:51,-25.2406,130.9889,95.0,14,99,14.97
56,Pimentel,PE,2021-01-23 00:42:28,-6.8367,-79.9342,71.6,73,0,18.41
57,Atuona,PF,2021-01-23 00:42:28,-9.8,-139.0333,78.15,78,2,13.87
58,Punta Arenas,CL,2021-01-23 00:42:29,-53.15,-70.9167,55.4,38,75,18.41
59,Lufilufi,WS,2021-01-23 00:42:29,-13.8745,-171.5986,91.4,66,75,10.36
60,Bambous Virieux,MU,2021-01-23 00:42:29,-20.3428,57.7575,79.0,83,75,6.91
61,Karratha,AU,2021-01-23 00:42:29,-20.7377,116.8463,91.9,32,1,13.33
62,College,US,2021-01-23 00:42:29,64.8569,-147.8028,25.0,73,75,5.75
63,Ures,MX,2021-01-23 00:42:29,29.4333,-110.4,66.99,62,0,1.99
64,Baykit,RU,2021-01-23 00:42:30,61.67,96.37,-38.24,75,100,3.11
65,Port Elizabeth,ZA,2021-01-23 00:42:30,-33.918,25.5701,71.6,94,90,3.44
66,Zheleznodorozhnyy,RU,2021-01-23 00:42:30,55.7503,38.0042,30.2,93,90,8.95
67,Geraldton,AU,2021-01-23 00:42:30,-28.7667,114.6,75.2,73,90,16.11
68,Hays,US,2021-01-23 00:42:30,30.0502,-98.0336,68.0,75,0,7.43
69,Awjilah,LY,2021-01-23 00:42:30,29.1081,21.2869,45.7,61,0,7.92
70,Manokwari,ID,2021-01-23 00:42:30,-0.8667,134.0833,83.25,71,44,6.17
71,Grand-Santi,GF,2021-01-23 00:42:30,4.25,-54.3833,72.1,97,66,1.99
72,Saint Anthony,US,2021-01-23 00:42:31,45.0205,-93.218,12.2,62,1,3.44
73,Georgetown,MY,2021-01-23 00:42:31,5.4112,100.3354,78.8,83,20,6.13
74,Carnarvon,AU,2021-01-23 00:42:31,-24.8667,113.6333,78.8,65,40,14.97
75,Prince Rupert,CA,2021-01-23 00:42:31,54.3161,-130.3201,35.6,69,1,6.91
76,Abbeville,FR,2021-01-23 00:42:31,50.1,1.8333,39.0,85,1,11.41
77,Thyboron,DK,2021-01-23 00:42:32,56.6985,8.2124,39.0,90,0,5.01
78,Yar-Sale,RU,2021-01-23 00:42:32,66.8333,70.8333,-38.63,81,74,6.55
79,Amapa,BR,2021-01-23 00:42:32,1.0,-52.0,72.37,98,100,1.79
80,Norman Wells,CA,2021-01-23 00:42:32,65.282,-126.8329,-13.0,77,75,5.75
81,Butaritari,KI,2021-01-23 00:42:32,3.0707,172.7902,79.45,82,0,10.69
82,Lebu,CL,2021-01-23 00:42:33,-37.6167,-73.65,63.1,77,0,19.42
83,Zhezkazgan,KZ,2021-01-23 00:42:33,47.8043,67.7144,8.46,96,100,8.01
84,Saint-Louis,SN,2021-01-23 00:42:33,16.3333,-15.0,69.8,24,100,4.61
85,Tuy Hoa,VN,2021-01-23 00:42:33,13.0833,109.3,72.36,84,57,6.89
86,Payo,ID,2021-01-23 00:42:33,-3.7508,103.6372,76.42,78,79,1.1
87,Ribeira Grande,PT,2021-01-23 00:42:33,38.5167,-28.7,62.49,91,94,19.66
88,Contamana,PE,2021-01-23 00:42:33,-7.3333,-75.0167,79.2,63,99,1.61
89,Bredasdorp,ZA,2021-01-23 00:42:34,-34.5322,20.0403,71.6,83,51,1.39
90,Airai,TL,2021-01-23 00:42:34,-8.9266,125.4092,71.85,80,96,1.97
91,Kondinskoye,RU,2021-01-23 00:42:34,59.6481,67.41,-39.91,80,30,5.7
92,Kavieng,PG,2021-01-23 00:42:34,-2.5744,150.7967,84.42,66,51,5.88
93,Dikson,RU,2021-01-23 00:42:34,73.5069,80.5464,-19.14,89,99,4.9
94,Hermanus,ZA,2021-01-23 00:42:34,-34.4187,19.2345,64.99,95,0,2.55
95,Arraial Do Cabo,BR,2021-01-23 00:42:35,-22.9661,-42.0278,75.9,87,100,13.89
96,Savinka,RU,2021-01-23 00:42:35,50.0785,47.0994,33.69,96,100,10.58
97,Cap Malheureux,MU,2021-01-23 00:42:35,-19.9842,57.6142,79.0,75,1,3.0
98,Egvekinot,RU,2021-01-23 00:42:35,66.3167,-179.1667,-8.61,94,96,2.08
99,Batticaloa,LK,2021-01-23 00:42:35,7.7102,81.6924,77.11,76,27,4.5
100,Najran,SA,2021-01-23 00:42:35,17.4924,44.1277,48.2,46,0,0.83
101,Lamar,US,2021-01-23 00:42:36,33.6668,-95.5836,50.0,87,90,3.44
102,Myaundzha,RU,2021-01-23 00:42:36,63.0494,147.1858,-26.03,67,76,1.68
103,Porto Santo,PT,2021-01-23 00:42:36,33.072,-16.3415,59.0,94,20,1.97
104,Yellowknife,CA,2021-01-23 00:40:46,62.456,-114.3525,-14.8,76,75,5.75
105,Yangambi,CD,2021-01-23 00:42:36,0.8102,24.4336,71.49,76,68,1.63
106,Hobart,AU,2021-01-23 00:40:20,-42.8794,147.3294,73.99,33,0,14.97
107,Agirish,RU,2021-01-23 00:42:37,61.9247,63.0231,-36.92,82,3,1.9
108,Bodmin,GB,2021-01-23 00:42:37,50.4715,-4.7243,37.4,87,100,6.91
109,Sitka,US,2021-01-23 00:42:37,57.0531,-135.33,39.2,87,75,4.61
